```csv



"DateTime,Event,Importance"
"2020-01-03 13:30:00,Non-Farm Payrolls,High"
"2020-01-14 13:30:00,CPI m/m,High"
"2020-01-29 19:00:00,FOMC Statement,High"
"2020-02-07 13:30:00,Non-Farm Payrolls,High"
"2020-02-13 13:30:00,CPI m/m,High"
"2020-03-06 13:30:00,Non-Farm Payrolls,High"
"2020-03-11 12:30:00,CPI m/m,High"
"2020-03-15 21:00:00,FOMC Emergency,High"
"2020-04-03 12:30:00,Non-Farm Payrolls,High"
"2020-04-10 12:30:00,CPI m/m,High"
"2020-04-29 18:00:00,FOMC Statement,High"
"2020-05-08 12:30:00,Non-Farm Payrolls,High"
"2020-06-05 12:30:00,Non-Farm Payrolls,High"
"2020-06-10 18:00:00,FOMC Statement,High"
"2020-07-02 12:30:00,Non-Farm Payrolls,High"
"2020-07-29 18:00:00,FOMC Statement,High"
"2020-08-07 12:30:00,Non-Farm Payrolls,High"
"2020-09-04 12:30:00,Non-Farm Payrolls,High"
"2020-09-16 18:00:00,FOMC Statement,High"
"2020-10-02 12:30:00,Non-Farm Payrolls,High"
"2020-11-05 19:00:00,FOMC Statement,High"
"2020-11-06 13:30:00,Non-Farm Payrolls,High"
"2020-12-04 13:30:00,Non-Farm Payrolls,High"
"2020-12-16 19:00:00,FOMC Statement,High"
"2021-01-08 13:30:00,Non-Farm Payrolls,High"
"2021-01-13 13:30:00,CPI m/m,High"
"2021-01-27 19:00:00,FOMC Statement,High"
"2021-02-05 13:30:00,Non-Farm Payrolls,High"
"2021-02-10 13:30:00,CPI m/m,High"
"2021-03-05 13:30:00,Non-Farm Payrolls,High"
"2021-03-10 13:30:00,CPI m/m,High"
"2021-03-17 18:00:00,FOMC Statement,High"
"2021-04-02 12:30:00,Non-Farm Payrolls,High"
"2021-04-13 12:30:00,CPI m/m,High"
"2021-04-28 18:00:00,FOMC Statement,High"
"2021-05-07 12:30:00,Non-Farm Payrolls,High"
"2021-05-12 12:30:00,CPI m/m,High"
"2021-06-04 12:30:00,Non-Farm Payrolls,High"
"2021-06-10 12:30:00,CPI m/m,High"
"2021-06-16 18:00:00,FOMC Statement,High"
"2021-07-02 12:30:00,Non-Farm Payrolls,High"
"2021-07-13 12:30:00,CPI m/m,High"
"2021-07-28 18:00:00,FOMC Statement,High"
"2021-08-06 12:30:00,Non-Farm Payrolls,High"
"2021-08-11 12:30:00,CPI m/m,High"
"2021-09-03 12:30:00,Non-Farm Payrolls,High"
"2021-09-14 12:30:00,CPI m/m,High"
"2021-09-22 18:00:00,FOMC Statement,High"
"2021-10-08 12:30:00,Non-Farm Payrolls,High"
"2021-10-13 12:30:00,CPI m/m,High"
"2021-11-03 18:00:00,FOMC Statement,High"
"2021-11-05 12:30:00,Non-Farm Payrolls,High"
"2021-11-10 13:30:00,CPI m/m,High"
"2021-12-03 13:30:00,Non-Farm Payrolls,High"
"2021-12-10 13:30:00,CPI m/m,High"
"2021-12-15 19:00:00,FOMC Statement,High"
"2022-01-07 13:30:00,Non-Farm Payrolls,High"
"2022-01-12 13:30:00,CPI m/m,High"
"2022-01-26 19:00:00,FOMC Statement,High"
"2022-02-04 13:30:00,Non-Farm Payrolls,High"
"2022-02-10 13:30:00,CPI m/m,High"
"2022-03-04 13:30:00,Non-Farm Payrolls,High"
"2022-03-10 13:30:00,CPI m/m,High"
"2022-03-16 18:00:00,FOMC Statement,High"
"2022-04-01 12:30:00,Non-Farm Payrolls,High"
"2022-04-12 12:30:00,CPI m/m,High"
"2022-05-04 18:00:00,FOMC Statement,High"
"2022-05-06 12:30:00,Non-Farm Payrolls,High"
"2022-05-11 12:30:00,CPI m/m,High"
"2022-06-03 12:30:00,Non-Farm Payrolls,High"
"2022-06-10 12:30:00,CPI m/m,High"
"2022-06-15 18:00:00,FOMC Statement,High"
"2022-07-08 12:30:00,Non-Farm Payrolls,High"
"2022-07-13 12:30:00,CPI m/m,High"
"2022-07-27 18:00:00,FOMC Statement,High"
"2022-08-05 12:30:00,Non-Farm Payrolls,High"
"2022-08-10 12:30:00,CPI m/m,High"
"2022-09-02 12:30:00,Non-Farm Payrolls,High"
"2022-09-13 12:30:00,CPI m/m,High"
"2022-09-21 18:00:00,FOMC Statement,High"
"2022-10-07 12:30:00,Non-Farm Payrolls,High"
"2022-10-13 12:30:00,CPI m/m,High"
"2022-11-02 18:00:00,FOMC Statement,High"
"2022-11-04 12:30:00,Non-Farm Payrolls,High"
"2022-11-10 13:30:00,CPI m/m,High"
"2022-12-02 13:30:00,Non-Farm Payrolls,High"
"2022-12-13 13:30:00,CPI m/m,High"
"2022-12-14 19:00:00,FOMC Statement,High"
"2023-01-06 13:30:00,Non-Farm Payrolls,High"
"2023-01-12 13:30:00,CPI m/m,High"
"2023-02-01 19:00:00,FOMC Statement,High"
"2023-02-03 13:30:00,Non-Farm Payrolls,High"
"2023-02-14 13:30:00,CPI m/m,High"
"2023-03-10 13:30:00,Non-Farm Payrolls,High"
"2023-03-14 12:30:00,CPI m/m,High"
"2023-03-22 18:00:00,FOMC Statement,High"
"2023-04-07 12:30:00,Non-Farm Payrolls,High"
"2023-04-12 12:30:00,CPI m/m,High"
"2023-05-03 18:00:00,FOMC Statement,High"
"2023-05-05 12:30:00,Non-Farm Payrolls,High"
"2023-05-10 12:30:00,CPI m/m,High"
"2023-06-02 12:30:00,Non-Farm Payrolls,High"
"2023-06-13 12:30:00,CPI m/m,High"
"2023-06-14 18:00:00,FOMC Statement,High"
"2023-07-07 12:30:00,Non-Farm Payrolls,High"
"2023-07-12 12:30:00,CPI m/m,High"
"2023-07-26 18:00:00,FOMC Statement,High"
"2023-08-04 12:30:00,Non-Farm Payrolls,High"
"2023-08-10 12:30:00,CPI m/m,High"
"2023-09-01 12:30:00,Non-Farm Payrolls,High"
"2023-09-13 12:30:00,CPI m/m,High"
"2023-09-20 18:00:00,FOMC Statement,High"
"2023-10-06 12:30:00,Non-Farm Payrolls,High"
"2023-10-12 12:30:00,CPI m/m,High"
"2023-11-01 18:00:00,FOMC Statement,High"
"2023-11-03 12:30:00,Non-Farm Payrolls,High"
"2023-11-14 13:30:00,CPI m/m,High"
"2023-12-08 13:30:00,Non-Farm Payrolls,High"
"2023-12-12 13:30:00,CPI m/m,High"
"2023-12-13 19:00:00,FOMC Statement,High"
"2024-01-05 13:30:00,Non-Farm Payrolls,High"
"2024-01-11 13:30:00,CPI m/m,High"
"2024-01-31 19:00:00,FOMC Statement,High"
"2024-02-02 13:30:00,Non-Farm Payrolls,High"
"2024-02-13 13:30:00,CPI m/m,High"
"2024-03-08 13:30:00,Non-Farm Payrolls,High"
"2024-03-12 12:30:00,CPI m/m,High"
"2024-03-20 18:00:00,FOMC Statement,High"
"2024-04-05 12:30:00,Non-Farm Payrolls,High"
"2024-04-10 12:30:00,CPI m/m,High"
"2024-05-01 18:00:00,FOMC Statement,High"
"2024-05-03 12:30:00,Non-Farm Payrolls,High"
"2024-05-15 12:30:00,CPI m/m,High"
"2024-06-07 12:30:00,Non-Farm Payrolls,High"
"2024-06-12 12:30:00,CPI m/m,High"
"2024-06-12 18:00:00,FOMC Statement,High"
"2024-07-05 12:30:00,Non-Farm Payrolls,High"
"2024-07-11 12:30:00,CPI m/m,High"
"2024-07-31 18:00:00,FOMC Statement,High"
"2024-08-02 12:30:00,Non-Farm Payrolls,High"
"2024-08-14 12:30:00,CPI m/m,High"
"2024-09-06 12:30:00,Non-Farm Payrolls,High"
"2024-09-11 12:30:00,CPI m/m,High"
"2024-09-18 18:00:00,FOMC Statement,High"
"2024-10-04 12:30:00,Non-Farm Payrolls,High"
"2024-10-10 12:30:00,CPI m/m,High"
"2024-11-01 12:30:00,Non-Farm Payrolls,High"
"2024-11-07 19:00:00,FOMC Statement,High"
"2024-11-13 13:30:00,CPI m/m,High"
"2024-12-06 13:30:00,Non-Farm Payrolls,High"
"2024-12-11 13:30:00,CPI m/m,High"
"2024-12-18 19:00:00,FOMC Statement,High"
"2025-01-10 13:30:00,Non-Farm Payrolls,High"
"2025-01-15 13:30:00,CPI m/m,High"
"2025-01-29 19:00:00,FOMC Statement,High"
"2025-02-07 13:30:00,Non-Farm Payrolls,High"
"2025-02-12 13:30:00,CPI m/m,High"
"2025-03-07 13:30:00,Non-Farm Payrolls,High"
"2025-03-12 12:30:00,CPI m/m,High"
"2025-03-19 18:00:00,FOMC Statement,High"
"2025-04-04 12:30:00,Non-Farm Payrolls,High"
"2025-04-10 12:30:00,CPI m/m,High"
"2025-05-02 12:30:00,Non-Farm Payrolls,High"
"2025-05-07 18:00:00,FOMC Statement,High"
"2025-05-14 12:30:00,CPI m/m,High"
"2025-06-06 12:30:00,Non-Farm Payrolls,High"
"2025-06-11 12:30:00,CPI m/m,High"
"2025-06-18 18:00:00,FOMC Statement,High"
"2025-07-04 12:30:00,Non-Farm Payrolls,High"
"2025-07-10 12:30:00,CPI m/m,High"
"2025-07-30 18:00:00,FOMC Statement,High"
"2025-08-01 12:30:00,Non-Farm Payrolls,High"
"2025-08-13 12:30:00,CPI m/m,High"
"2025-09-05 12:30:00,Non-Farm Payrolls,High"
"2025-09-10 12:30:00,CPI m/m,High"
"2025-09-17 18:00:00,FOMC Statement,High"
"2025-10-03 12:30:00,Non-Farm Payrolls,High"
"2025-10-15 12:30:00,CPI m/m,High"
"2025-10-29 18:00:00,FOMC Statement,High"
"2025-11-07 13:30:00,Non-Farm Payrolls,High"
"2025-11-12 13:30:00,CPI m/m,High"
"2025-12-05 13:30:00,Non-Farm Payrolls,High"
"2025-12-10 13:30:00,CPI m/m,High"
"2025-12-17 19:00:00,FOMC Statement,High"


```
