半年,利益,総取引,勝ち数,負け数,PF,最大DD,,時間SL,固定SL,段階的SL1発動,段階的SL1PIPS,段階的SL2発動,段階的SL2PIPS,最小TP距離,TPSL倍率,固定TP,EMA傾き判定本数,EMA傾き最小有効差分,TP構造時間足,TP構造スイング判定本数,TP構造スイング探索本数,EMA10/20方向判定,EMA10/20クロス有効,EMA10/20同値デッドゾーン
CORE,189359,1616,967,649,1.31,,,35,50,,,,,,1,32,,,,,,,,
69,"63,813",1438,737,701,1.1,"19,619",,40,40,,,,,,1,90,,,,,,,6,60
140,"62,559",1205,625,580,1.1,"30,967",,60,50,,,,,,1,120,,,,,,,6,60
230,"62,039",1354,7002,652,1.09,"22,979",,60,40,,,,,,1,90,,,,,,,6,80
154,"60,005",1132,587,545,1.11,"29,274",,60,60,,,,,,1,90,,,,,,,6,40
521,"58,364",1322,682,640,1.1,"21,917",,40,50,,,,,,1,120,,,,,,,6,40
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,15391.47059,110.7647059,61.29411765,49.47058824,1.715294118,3717.411765,,46,45,48,21,51,43,42,1.15,102,10,10,45,3,129,#DIV/0!,4.941176471,64.70588235
